customer_id,region,device,industry,converted,product,revenue,acq_date
CUST_CFCD2084,North America,Desktop,Manufacturing,False,,0,
CUST_C4CA4238,North America,Tablet,Healthcare,True,Pro Plan,1200,2025-04-03 15:34:41
CUST_C81E728D,North America,Mobile,Healthcare,False,,0,
CUST_ECCBC87E,MEA,Mobile,Tech,True,Enterprise Plan,4800,2025-05-19 18:43:26
CUST_A87FF679,LATAM,Desktop,Tech,False,,0,
CUST_E4DA3B7F,APAC,Desktop,Finance,False,,0,
CUST_1679091C,Europe,Desktop,Media,False,,0,
CUST_8F14E45F,Europe,Mobile,Tech,False,,0,
CUST_C9F0F895,APAC,Mobile,Healthcare,False,,0,
CUST_45C48CCE,APAC,Mobile,Education,True,Enterprise Plan,4800,2025-04-13 22:16:08
CUST_D3D94468,LATAM,Desktop,Healthcare,True,Enterprise Plan,4800,2024-10-21 00:23:32
CUST_6512BD43,MEA,Tablet,Education,True,Starter Plan,360,2025-03-24 10:37:26
CUST_C20AD4D7,North America,Mobile,Tech,True,Enterprise Plan,4800,2024-08-12 18:34:57
CUST_C51CE410,Europe,Desktop,Healthcare,False,,0,
CUST_AAB32389,LATAM,Desktop,Education,False,,0,
CUST_9BF31C7F,Europe,Desktop,Manufacturing,True,Starter Plan,360,2025-06-29 02:52:43
CUST_C74D97B0,North America,Desktop,Retail,False,,0,
CUST_70EFDF2E,Europe,Desktop,Retail,False,,0,
CUST_6F4922F4,APAC,Desktop,Tech,False,,0,
CUST_1F0E3DAD,North America,Desktop,Tech,False,,0,
CUST_98F13708,APAC,Mobile,Media,False,,0,
CUST_3C59DC04,MEA,Desktop,Education,True,Pro Plan,1200,2024-06-14 03:38:45
CUST_B6D767D2,LATAM,Desktop,Logistics,False,,0,
CUST_37693CFC,Europe,Desktop,Manufacturing,True,Pro Plan,1200,2025-03-30 01:28:21
CUST_1FF1DE77,MEA,Desktop,Media,False,,0,
CUST_8E296A06,Europe,Mobile,Logistics,False,,0,
CUST_4E732CED,North America,Desktop,Retail,True,Enterprise Plan,4800,2025-05-02 08:26:31
CUST_02E74F10,MEA,Desktop,Healthcare,True,Add-on Bundle,240,2024-10-25 20:34:57
CUST_33E75FF0,LATAM,Mobile,Manufacturing,False,,0,
CUST_6EA9AB1B,North America,Desktop,Healthcare,False,,0,
CUST_34173CB3,MEA,Mobile,Manufacturing,False,,0,
CUST_C16A5320,APAC,Desktop,Healthcare,False,,0,
CUST_6364D3F0,LATAM,Desktop,Finance,True,Pro Plan,1200,2024-07-23 13:55:39
CUST_182BE0C5,Europe,Tablet,Healthcare,False,,0,
CUST_E369853D,APAC,Tablet,Tech,False,,0,
CUST_1C383CD3,MEA,Mobile,Finance,True,Pro Plan,1200,2025-04-10 05:08:10
CUST_19CA14E7,North America,Desktop,Healthcare,False,,0,
CUST_A5BFC9E0,APAC,Desktop,Tech,False,,0,
CUST_A5771BCE,North America,Mobile,Logistics,True,Enterprise Plan,4800,2024-02-23 18:12:53
CUST_D67D8AB4,MEA,Desktop,Retail,False,,0,
CUST_D645920E,MEA,Desktop,Retail,True,Add-on Bundle,240,2024-07-24 21:00:49
CUST_3416A75F,MEA,Desktop,Media,False,,0,
CUST_A1D0C6E8,MEA,Desktop,Tech,False,,0,
CUST_17E62166,LATAM,Tablet,Education,False,,0,
CUST_F7177163,MEA,Desktop,Logistics,False,,0,
CUST_6C8349CC,North America,Mobile,Education,True,Pro Plan,1200,2024-01-17 08:06:25
CUST_D9D4F495,Europe,Desktop,Tech,False,,0,
CUST_67C6A1E7,Europe,Desktop,Healthcare,True,Enterprise Plan,4800,2024-01-25 09:34:47
CUST_642E92EF,North America,Desktop,Tech,False,,0,
CUST_F457C545,Europe,Desktop,Retail,True,Add-on Bundle,240,2025-03-19 13:00:53
CUST_C0C7C76D,Europe,Tablet,Logistics,False,,0,
CUST_2838023A,Europe,Mobile,Healthcare,False,,0,
CUST_9A115815,APAC,Tablet,Media,True,Add-on Bundle,240,2024-11-15 07:30:06
CUST_D82C8D16,North America,Mobile,Healthcare,False,,0,
CUST_A684ECEE,North America,Mobile,Tech,True,Starter Plan,360,2024-05-28 19:29:52
CUST_B53B3A3D,Europe,Tablet,Media,True,Add-on Bundle,240,2024-05-22 12:27:53
CUST_9F61408E,North America,Desktop,Logistics,True,Pro Plan,1200,2025-03-03 10:48:26
CUST_72B32A1F,North America,Desktop,Tech,True,Enterprise Plan,4800,2024-05-09 04:15:49
CUST_66F041E1,LATAM,Desktop,Tech,False,,0,
CUST_093F65E0,North America,Desktop,Retail,False,,0,
CUST_072B030B,LATAM,Desktop,Manufacturing,False,,0,
CUST_7F39F831,LATAM,Desktop,Manufacturing,False,,0,
CUST_44F683A8,MEA,Mobile,Logistics,False,,0,
CUST_03AFDBD6,Europe,Desktop,Finance,True,Starter Plan,360,2025-03-25 20:42:11
CUST_EA5D2F1C,North America,Desktop,Education,False,,0,
CUST_FC490CA4,MEA,Desktop,Retail,True,Add-on Bundle,240,2024-02-14 04:18:43
CUST_3295C76A,North America,Desktop,Retail,False,,0,
CUST_735B90B4,Europe,Mobile,Media,True,Enterprise Plan,4800,2024-04-03 02:50:54
CUST_A3F390D8,MEA,Desktop,Tech,False,,0,
CUST_14BFA6BB,North America,Tablet,Healthcare,False,,0,
CUST_7CBBC409,MEA,Mobile,Education,False,,0,
CUST_E2C420D9,Europe,Desktop,Education,False,,0,
CUST_32BB90E8,Europe,Desktop,Manufacturing,True,Add-on Bundle,240,2024-12-21 03:17:01
CUST_D2DDEA18,North America,Mobile,Finance,False,,0,
CUST_AD61AB14,MEA,Mobile,Healthcare,False,,0,
CUST_D09BF415,MEA,Mobile,Manufacturing,True,Pro Plan,1200,2024-04-12 21:10:09
CUST_FBD7939D,North America,Mobile,Tech,False,,0,
CUST_28DD2C79,Europe,Desktop,Logistics,False,,0,
CUST_35F4A8D4,APAC,Desktop,Finance,False,,0,
CUST_D1FE173D,MEA,Desktop,Manufacturing,False,,0,
CUST_F033AB37,North America,Mobile,Retail,False,,0,
CUST_43EC517D,MEA,Mobile,Retail,True,Enterprise Plan,4800,2024-07-30 12:56:19
CUST_9778D5D2,APAC,Desktop,Tech,True,Pro Plan,1200,2025-06-17 23:52:31
CUST_FE9FC289,APAC,Desktop,Logistics,False,,0,
CUST_68D30A95,North America,Desktop,Media,True,Enterprise Plan,4800,2024-08-02 21:41:35
CUST_3EF81541,Europe,Desktop,Manufacturing,True,Starter Plan,360,2024-05-05 12:06:22
CUST_93DB85ED,MEA,Mobile,Media,False,,0,
CUST_C7E1249F,North America,Mobile,Healthcare,False,,0,
CUST_2A38A4A9,Europe,Mobile,Finance,False,,0,
CUST_7647966B,MEA,Desktop,Retail,False,,0,
CUST_8613985E,North America,Desktop,Manufacturing,False,,0,
CUST_54229ABF,North America,Mobile,Education,False,,0,
CUST_92CC2275,North America,Mobile,Education,True,Pro Plan,1200,2025-03-10 20:59:06
CUST_98DCE83D,LATAM,Mobile,Retail,False,,0,
CUST_F4B9EC30,Europe,Mobile,Retail,False,,0,
CUST_812B4BA2,Europe,Desktop,Media,False,,0,
CUST_26657D5F,LATAM,Desktop,Tech,True,Starter Plan,360,2024-07-26 05:37:08
CUST_E2EF524F,LATAM,Desktop,Finance,True,Enterprise Plan,4800,2024-12-31 14:17:52
CUST_ED3D2C21,APAC,Desktop,Manufacturing,True,Add-on Bundle,240,2024-06-25 18:41:14
CUST_AC627AB1,LATAM,Desktop,Education,True,Pro Plan,1200,2024-08-04 09:32:14
